DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Total"
"130270 MANICORE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130290 MAUES";-;1;1;15;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;22
"130330 NOVO ARIPUANA";-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"130340 PARINTINS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130353 PRESIDENTE FIGUEIREDO";-;-;-;1;2;-;-;1;1;2;4;1;10;2;5;4;1;6;-;-;2;1;1;1;-;2;1;-;-;-;-;-;-;48
"130356 RIO PRETO DA EVA";-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130370 SANTO ANTONIO DO ICA";1;1;-;-;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130380 SAO GABRIEL DA CACHOEIRA";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130406 TABATINGA";4;1;2;-;1;3;1;-;1;3;1;-;2;1;3;3;5;1;1;2;1;1;3;-;-;-;1;1;-;-;-;-;-;42
"130410 TAPAUA";-;1;5;-;1;-;-;1;-;-;-;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;15
"130420 TEFE";2;-;-;-;-;-;2;-;-;2;-;-;2;-;1;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;12
"130423 TONANTINS";1;2;5;-;-;9;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"130430 URUCARA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"140002 AMAJARI";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;-;-;5
"140005 ALTO ALEGRE";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;4
"140010 BOA VISTA";1;1;2;-;1;1;1;1;5;-;1;-;-;1;-;3;-;4;1;3;2;3;1;2;3;3;3;1;2;1;3;9;5;64
"140015 BONFIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"140017 CANTA";-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;1;1;8
"140020 CARACARAI";-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;4;7;-;4;2;-;2;2;-;1;-;-;-;-;-;-;-;-;26
"140023 CAROEBE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;3
"140028 IRACEMA";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"140040 NORMANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"140045 PACARAIMA";-;-;-;-;-;-;1;-;-;-;2;-;-;5;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;14
