estado,data,casos
GO,2024-12-16,1592.0
GO,2024-12-23,1351.0
GO,2024-12-30,6570.0
GO,2025-01-06,1703.0
GO,2025-01-13,2456.0
GO,2025-01-20,2491.0
MA,2024-01-08,630.0
MA,2024-01-15,870.0
MA,2024-01-22,880.0
MA,2024-01-29,820.0
MA,2024-02-05,1300.0
MA,2024-02-12,2220.0
MA,2024-02-19,4080.0
MA,2024-02-26,6210.0
MA,2024-03-04,7600.0
MA,2024-03-11,8260.0
MA,2024-03-18,9590.0
MA,2024-03-25,1098.0
MA,2024-04-01,7680.0
MA,2024-04-08,8640.0
MA,2024-04-15,8000.0
MA,2024-04-22,6890.0
MA,2024-04-29,4700.0
MA,2024-05-06,4040.0
MA,2024-05-13,3410.0
MA,2024-05-20,2450.0
MA,2024-05-27,2220.0
MA,2024-06-03,1420.0
MA,2024-06-10,1130.0
MA,2024-06-17,1040.0
MA,2024-06-24,1080.0
MA,2024-07-01,670.0
MA,2024-07-08,520.0
MA,2024-07-15,470.0
MA,2024-07-22,290.0
MA,2024-07-29,350.0
MA,2024-08-05,310.0
MA,2024-08-12,360.0
MA,2024-08-19,270.0
MA,2024-08-26,270.0
MA,2024-09-02,320.0
MA,2024-09-09,230.0
MA,2024-09-16,270.0
MA,2024-09-23,270.0
MA,2024-09-30,190.0
MA,2024-10-07,190.0
MA,2024-10-14,160.0
MA,2024-10-21,230.0
MA,2024-10-28,190.0
MA,2024-11-04,320.0
MA,2024-11-11,220.0
MA,2024-11-18,300.0
MA,2024-11-25,310.0
MA,2024-12-02,260.0
MA,2024-12-09,280.0
MA,2024-12-16,330.0
MA,2024-12-23,140.0
MA,2024-12-30,110.0
MA,2025-01-06,280.0
MA,2025-01-13,530.0
MA,2025-01-20,750.0
MG,2024-01-08,16964.0
MG,2024-01-15,21901.0
MG,2024-01-22,33499.0
MG,2024-01-29,5052.0
MG,2024-02-05,69595.0
MG,2024-02-12,8371.0
MG,2024-02-19,96798.0
MG,2024-02-26,120058.0
MG,2024-03-04,126397.0
MG,2024-03-11,127009.0
MG,2024-03-18,12815.0
MG,2024-03-25,130964.0
MG,2024-04-01,99486.0
MG,2024-04-08,102507.0
MG,2024-04-15,93993.0
MG,2024-04-22,73924.0
MG,2024-04-29,58601.0
MG,2024-05-06,53564.0
MG,2024-05-13,44405.0
MG,2024-05-20,34325.0
MG,2024-05-27,25889.0
MG,2024-06-03,15098.0
MG,2024-06-10,10355.0
MG,2024-06-17,7541.0
MG,2024-06-24,5293.0
MG,2024-07-01,3739.0
MG,2024-07-08,2813.0
MG,2024-07-15,1969.0
MG,2024-07-22,1606.0
MG,2024-07-29,1094.0
MG,2024-08-05,1021.0
MG,2024-08-12,8480.0
MG,2024-08-19,8010.0
MG,2024-08-26,9140.0
MG,2024-09-02,7140.0
MG,2024-09-09,8190.0
MG,2024-09-16,7810.0
MG,2024-09-23,8730.0
MG,2024-09-30,8550.0
MG,2024-10-07,8910.0
MG,2024-10-14,8490.0
MG,2024-10-21,8460.0
MG,2024-10-28,1016.0
MG,2024-11-04,1119.0
MG,2024-11-11,1345.0
MG,2024-11-18,1527.0
MG,2024-11-25,199.0
MG,2024-12-02,2221.0
MG,2024-12-09,2462.0
MG,2024-12-16,2603.0
MG,2024-12-23,2229.0
MG,2024-12-30,1005.0
MG,2025-01-06,2634.0
MG,2025-01-13,3698.0
MG,2025-01-20,4906.0
MS,2024-01-08,2000.0
MS,2024-01-15,2680.0
MS,2024-01-22,3900.0
MS,2024-01-29,4750.0
MS,2024-02-05,4530.0
MS,2024-02-12,5630.0
MS,2024-02-19,8150.0
MS,2024-02-26,8170.0
MS,2024-03-04,8650.0
MS,2024-03-11,1018.0
MS,2024-03-18,1186.0
MS,2024-03-25,1183.0
MS,2024-04-01,1007.0
MS,2024-04-08,1073.0
MS,2024-04-15,1158.0
MS,2024-04-22,9480.0
MS,2024-04-29,9250.0
MS,2024-05-06,9650.0
MS,2024-05-13,1034.0
MS,2024-05-20,8720.0
MS,2024-05-27,4990.0
MS,2024-06-03,2760.0
MS,2024-06-10,2350.0
MS,2024-06-17,3260.0
MS,2024-06-24,2420.0
MS,2024-07-01,1390.0
MS,2024-07-08,830.0
MS,2024-07-15,460.0
MS,2024-07-22,370.0
MS,2024-07-29,430.0
MS,2024-08-05,510.0
MS,2024-08-12,280.0
MS,2024-08-19,270.0
MS,2024-08-26,300.0
MS,2024-09-02,240.0
MS,2024-09-09,160.0
MS,2024-09-16,230.0
MS,2024-09-23,400.0
MS,2024-09-30,360.0
MS,2024-10-07,340.0
MS,2024-10-14,370.0
MS,2024-10-21,360.0
MS,2024-10-28,300.0
MS,2024-11-04,380.0
MS,2024-11-11,390.0
MS,2024-11-18,320.0
MS,2024-11-25,400.0
MS,2024-12-02,400.0
MS,2024-12-09,420.0
MS,2024-12-16,730.0
MS,2024-12-23,590.0
MS,2024-12-30,350.0
MS,2025-01-06,1350.0
MS,2025-01-13,1980.0
MS,2025-01-20,2610.0
MT,2024-01-08,5540.0
MT,2024-01-15,6140.0
MT,2024-01-22,8730.0
MT,2024-01-29,1028.0
MT,2024-02-05,1294.0
MT,2024-02-12,1501.0
MT,2024-02-19,1644.0
MT,2024-02-26,1903.0
MT,2024-03-04,1795.0
MT,2024-03-11,1551.0
MT,2024-03-18,167.0
MT,2024-03-25,1633.0
MT,2024-04-01,1329.0
MT,2024-04-08,1856.0
MT,2024-04-15,1825.0
MT,2024-04-22,2056.0
MT,2024-04-29,2025.0
MT,2024-05-06,2322.0
MT,2024-05-13,2269.0
MT,2024-05-20,1805.0
MT,2024-05-27,1419.0
MT,2024-06-03,8140.0
MT,2024-06-10,9840.0
MT,2024-06-17,8470.0
MT,2024-06-24,8330.0
MT,2024-07-01,5740.0
MT,2024-07-08,5780.0
MT,2024-07-15,3880.0
MT,2024-07-22,2610.0
MT,2024-07-29,2990.0
MT,2024-08-05,2800.0
MT,2024-08-12,2170.0
MT,2024-08-19,1590.0
MT,2024-08-26,1460.0
MT,2024-09-02,1400.0
MT,2024-09-09,1450.0
MT,2024-09-16,1110.0
MT,2024-09-23,1370.0
MT,2024-09-30,750.0
MT,2024-10-07,950.0
MT,2024-10-14,810.0
MT,2024-10-21,810.0
MT,2024-10-28,950.0
MT,2024-11-04,1100.0
MT,2024-11-11,1280.0
MT,2024-11-18,1680.0
MT,2024-11-25,2200.0
MT,2024-12-02,2700.0
MT,2024-12-09,4160.0
MT,2024-12-16,4920.0
MT,2024-12-23,5770.0
MT,2024-12-30,3440.0
MT,2025-01-06,1011.0
MT,2025-01-13,1571.0
MT,2025-01-20,2038.0
PA,2024-01-08,1870.0
PA,2024-01-15,2410.0
PA,2024-01-22,3250.0
PA,2024-01-29,3940.0
PA,2024-02-05,6110.0
PA,2024-02-12,6830.0
PA,2024-02-19,106.0
PA,2024-02-26,1135.0
PA,2024-03-04,1217.0
PA,2024-03-11,1146.0
PA,2024-03-18,1164.0
PA,2024-03-25,1122.0
PA,2024-04-01,9450.0
PA,2024-04-08,1069.0
PA,2024-04-15,8770.0
PA,2024-04-22,8530.0
PA,2024-04-29,6750.0
PA,2024-05-06,5530.0
PA,2024-05-13,5300.0
PA,2024-05-20,4340.0
PA,2024-05-27,3510.0
PA,2024-06-03,2710.0
PA,2024-06-10,3370.0
PA,2024-06-17,3380.0
PA,2024-06-24,2880.0
PA,2024-07-01,2720.0
PA,2024-07-08,2560.0
PA,2024-07-15,2380.0
PA,2024-07-22,2110.0
PA,2024-07-29,1910.0
PA,2024-08-05,1990.0
PA,2024-08-12,1960.0
PA,2024-08-19,1570.0
PA,2024-08-26,1950.0
PA,2024-09-02,1630.0
PA,2024-09-09,1380.0
PA,2024-09-16,1650.0
PA,2024-09-23,1730.0
PA,2024-09-30,1340.0
PA,2024-10-07,1280.0
PA,2024-10-14,850.0
PA,2024-10-21,1090.0
PA,2024-10-28,1200.0
PA,2024-11-04,1280.0
PA,2024-11-11,1460.0
PA,2024-11-18,1590.0
PA,2024-11-25,2010.0
PA,2024-12-02,1480.0
PA,2024-12-09,1800.0
PA,2024-12-16,1960.0
PA,2024-12-23,1760.0
PA,2024-12-30,830.0
PA,2025-01-06,3020.0
PA,2025-01-13,4850.0
PA,2025-01-20,6660.0
PB,2024-01-08,540.0
PB,2024-01-15,930.0
PB,2024-01-22,980.0
PB,2024-01-29,910.0
PB,2024-02-05,1440.0
PB,2024-02-12,1560.0
PB,2024-02-19,3030.0
PB,2024-02-26,6300.0
PB,2024-03-04,8650.0
PB,2024-03-11,9960.0
PB,2024-03-18,9570.0
PB,2024-03-25,1006.0
PB,2024-04-01,6860.0
PB,2024-04-08,8190.0
PB,2024-04-15,7150.0
PB,2024-04-22,6490.0
PB,2024-04-29,4480.0
PB,2024-05-06,3690.0
PB,2024-05-13,3840.0
PB,2024-05-20,3600.0
PB,2024-05-27,3000.0
PB,2024-06-03,2230.0
PB,2024-06-10,2420.0
PB,2024-06-17,2570.0
PB,2024-06-24,1830.0
PB,2024-07-01,1930.0
PB,2024-07-08,2350.0
PB,2024-07-15,1880.0
PB,2024-07-22,2100.0
PB,2024-07-29,1900.0
PB,2024-08-05,2010.0
PB,2024-08-12,2150.0
PB,2024-08-19,2060.0
PB,2024-08-26,1590.0
PB,2024-09-02,1580.0
PB,2024-09-09,1540.0
PB,2024-09-16,1330.0
PB,2024-09-23,1220.0
PB,2024-09-30,1080.0
PB,2024-10-07,1040.0
PB,2024-10-14,1180.0
PB,2024-10-21,1220.0
PB,2024-10-28,1400.0
PB,2024-11-04,1290.0
PB,2024-11-11,1170.0
PB,2024-11-18,1140.0
PB,2024-11-25,1300.0
PB,2024-12-02,1150.0
PB,2024-12-09,1220.0
PB,2024-12-16,1300.0
PB,2024-12-23,990.0
PB,2024-12-30,720.0
PB,2025-01-06,870.0
PB,2025-01-13,960.0
PB,2025-01-20,1110.0
PE,2024-01-08,780.0
PE,2024-01-15,580.0
PE,2024-01-22,830.0
PE,2024-01-29,1130.0
PE,2024-02-05,1660.0
PE,2024-02-12,2370.0
PE,2024-02-19,4260.0
PE,2024-02-26,7540.0
PE,2024-03-04,9950.0
PE,2024-03-11,1159.0
PE,2024-03-18,1191.0
PE,2024-03-25,1196.0
PE,2024-04-01,9030.0
PE,2024-04-08,1205.0
PE,2024-04-15,1053.0
PE,2024-04-22,1154.0
PE,2024-04-29,9100.0
PE,2024-05-06,8460.0
PE,2024-05-13,7850.0
PE,2024-05-20,7680.0
PE,2024-05-27,7680.0
PE,2024-06-03,8250.0
PE,2024-06-10,8660.0
PE,2024-06-17,7890.0
PE,2024-06-24,6470.0
PE,2024-07-01,6850.0
PE,2024-07-08,7840.0
PE,2024-07-15,5820.0
PE,2024-07-22,6160.0
PE,2024-07-29,5010.0
PE,2024-08-05,3650.0
PE,2024-08-12,3720.0
PE,2024-08-19,3520.0
PE,2024-08-26,3040.0
PE,2024-09-02,2400.0
PE,2024-09-09,2820.0
PE,2024-09-16,2850.0
PE,2024-09-23,2870.0
PE,2024-09-30,2360.0
PE,2024-10-07,2130.0
PE,2024-10-14,2160.0
PE,2024-10-21,2280.0
PE,2024-10-28,2400.0
PE,2024-11-04,2310.0
PE,2024-11-11,2290.0
PE,2024-11-18,2170.0
PE,2024-11-25,2480.0
PE,2024-12-02,2580.0
PE,2024-12-09,2130.0
PE,2024-12-16,2270.0
PE,2024-12-23,2490.0
PE,2024-12-30,970.0
PE,2025-01-06,2010.0
PE,2025-01-13,2280.0
PE,2025-01-20,2140.0
PI,2024-01-08,880.0
PI,2024-01-15,1370.0
PI,2024-01-22,1090.0
PI,2024-01-29,1230.0
PI,2024-02-05,2130.0
PI,2024-02-12,3450.0
PI,2024-02-19,4610.0
PI,2024-02-26,7000.0
PI,2024-03-04,6790.0
PI,2024-03-11,8190.0
PI,2024-03-18,8730.0
PI,2024-03-25,7880.0
PI,2024-04-01,6350.0
PI,2024-04-08,8230.0
PI,2024-04-15,7480.0
PI,2024-04-22,7450.0
PI,2024-04-29,6840.0
PI,2024-05-06,5520.0
PI,2024-05-13,5980.0
PI,2024-05-20,6670.0
PI,2024-05-27,6200.0
PI,2024-06-03,4960.0
PI,2024-06-10,5320.0
PI,2024-06-17,4360.0
PI,2024-06-24,3200.0
PI,2024-07-01,2040.0
PI,2024-07-08,2010.0
PI,2024-07-15,1870.0
PI,2024-07-22,1890.0
PI,2024-07-29,1550.0
PI,2024-08-05,1180.0
PI,2024-08-12,1020.0
PI,2024-08-19,780.0
PI,2024-08-26,790.0
PI,2024-09-02,680.0
PI,2024-09-09,540.0
PI,2024-09-16,420.0
PI,2024-09-23,310.0
PI,2024-09-30,260.0
PI,2024-10-07,400.0
PI,2024-10-14,370.0
PI,2024-10-21,420.0
PI,2024-10-28,370.0
PI,2024-11-04,250.0
PI,2024-11-11,350.0
PI,2024-11-18,360.0
PI,2024-11-25,300.0
PI,2024-12-02,450.0
PI,2024-12-09,220.0
PI,2024-12-16,360.0
PI,2024-12-23,190.0
PI,2024-12-30,110.0
PI,2025-01-06,400.0
PI,2025-01-13,710.0
PI,2025-01-20,1040.0
PR,2024-01-08,5445.0
PR,2024-01-15,7036.0
PR,2024-01-22,9657.0
PR,2024-01-29,1174.0
PR,2024-02-05,12086.0
PR,2024-02-12,15127.0
PR,2024-02-19,20347.0
PR,2024-02-26,24529.0
PR,2024-03-04,26562.0
PR,2024-03-11,32683.0
PR,2024-03-18,3808.0
