state,year,week,T2M,T2M_MAX,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
MT,2019,45,28.33095238095238,33.72857142857143,68.6447619047619,32.696666666666665,18.74238095238095
MT,2019,46,28.074285714285715,33.853809523809524,69.43809523809524,26.10666666666667,19.45285714285714
MT,2019,47,28.475714285714286,34.35142857142857,66.25666666666667,25.793333333333333,23.265238095238097
MT,2019,48,27.406666666666666,32.56190476190476,75.97095238095237,54.403333333333336,19.047619047619047
MT,2019,49,28.047619047619047,32.65714285714286,73.57857142857142,34.873333333333335,18.494761904761905
MT,2019,50,26.355238095238096,29.994285714285716,81.4452380952381,45.93,19.34142857142857
MT,2019,51,26.545714285714286,31.015238095238097,78.72761904761906,34.516666666666666,17.126190476190477
MT,2019,52,27.997619047619047,32.86190476190476,72.57142857142857,18.986666666666668,24.24857142857143
MT,2020,1,28.002,33.10933333333334,72.64066666666666,24.956666666666667,21.351333333333333
MT,2020,2,27.627142857142854,32.34666666666667,75.8652380952381,27.746666666666666,20.034285714285716
MT,2020,3,29.46,35.14333333333333,67.03714285714285,24.53333333333333,23.566190476190474
MT,2020,4,28.923809523809524,34.34238095238096,69.70047619047618,35.59,21.776666666666667
MT,2020,5,28.381904761904764,33.77333333333333,70.63857142857144,25.096666666666664,20.91904761904762
MT,2020,6,27.486190476190476,32.28666666666667,75.00428571428571,55.03333333333333,18.63095238095238
MT,2020,7,26.861428571428572,31.07761904761905,80.15476190476191,52.63666666666666,19.184285714285718
MT,2020,8,26.568571428571428,30.77,83.21142857142857,69.02333333333334,17.259047619047617
MT,2020,9,25.91333333333333,30.25952380952381,82.37476190476191,28.979999999999997,17.844285714285714
MT,2020,10,27.114285714285717,33.47380952380952,64.89333333333333,2.5,26.315238095238097
MT,2020,11,28.25809523809524,34.72047619047619,69.58333333333333,13.190000000000001,23.210952380952385
MT,2020,12,27.355238095238096,32.39809523809524,77.11761904761904,35.973333333333336,18.833809523809524
MT,2020,13,26.512857142857143,30.92190476190476,82.34,40.773333333333326,18.3052380952381
MT,2020,14,27.467619047619046,32.794285714285714,74.91285714285713,11.456666666666667,21.349999999999998
MT,2020,15,27.03,32.69190476190476,70.26809523809524,7.723333333333334,19.933809523809522
MT,2020,16,25.439047619047617,31.00333333333333,73.30857142857143,20.806666666666665,18.222857142857144
MT,2020,17,27.00761904761905,33.3847619047619,70.56,5.86,20.44142857142857
MT,2020,18,26.80142857142857,34.64380952380952,58.488571428571426,0.22999999999999998,21.600476190476193
MT,2020,19,24.648571428571426,31.544285714285714,62.51428571428571,11.213333333333333,15.57047619047619
MT,2020,20,24.483809523809526,30.183333333333334,73.72571428571429,35.97333333333333,14.985238095238097
MT,2020,21,23.246666666666666,29.285238095238096,71.18428571428572,9.483333333333334,16.00857142857143
MT,2020,22,21.88714285714286,30.570476190476192,57.32285714285714,0.09666666666666666,19.550952380952378
MT,2020,23,26.123333333333335,33.63428571428572,58.82380952380952,0.5633333333333335,16.005238095238095
MT,2020,24,27.248095238095235,35.112857142857145,53.36190476190476,0.6066666666666667,17.345238095238095
MT,2020,25,26.316666666666666,34.5452380952381,49.470000000000006,0.05333333333333334,18.151904761904763
MT,2020,26,26.27285714285714,34.297619047619044,49.934761904761906,0.38666666666666666,16.520952380952384
MT,2020,27,25.474761904761902,33.63904761904762,45.16857142857143,0.11,17.445714285714285
MT,2020,28,26.525238095238098,35.05238095238095,43.34142857142857,0.10666666666666667,18.186666666666667
MT,2020,29,27.856190476190477,35.98238095238095,38.282380952380954,0.6066666666666666,19.20952380952381
MT,2020,30,26.55761904761905,35.0752380952381,37.39190476190476,0.3133333333333333,20.133333333333333
MT,2020,31,26.91095238095238,34.96619047619048,38.18714285714286,0.7999999999999999,19.841428571428573
MT,2020,32,26.516190476190477,35.04095238095238,34.190952380952375,0.47666666666666674,22.113809523809522
MT,2020,33,30.02190476190476,38.455238095238094,31.20904761904762,0.0033333333333333335,20.407619047619047
MT,2020,34,25.89428571428571,33.67857142857143,43.637619047619054,2.5599999999999996,16.836190476190477
MT,2020,35,30.82333333333333,39.73142857142857,28.37285714285714,0.0033333333333333335,21.43619047619048
MT,2020,36,30.683333333333334,39.32523809523809,27.220952380952383,0.32999999999999996,22.562380952380952
MT,2020,37,31.64428571428571,40.396190476190476,24.77285714285714,0.03333333333333334,22.194285714285716
MT,2020,38,31.695714285714285,39.364761904761906,29.550952380952378,1.65,16.354285714285716
MT,2020,39,31.148095238095237,38.42,43.385238095238094,4.926666666666667,19.636190476190478
MT,2020,40,33.43904761904762,41.58190476190476,33.37095238095238,6.8566666666666665,22.17809523809524
MT,2020,41,34.61,42.32380952380952,32.33809523809524,4.596666666666667,18.529523809523813
MT,2020,42,30.225238095238097,36.13333333333333,56.57714285714286,24.740000000000002,18.99190476190476
MT,2020,43,29.03238095238095,35.05619047619047,64.19714285714285,22.1,18.801904761904762
MT,2020,44,27.927142857142858,33.76761904761905,68.3547619047619,27.763333333333332,18.801904761904762
MT,2020,45,30.205714285714286,38.04666666666667,46.60285714285715,0.9633333333333334,26.674761904761905
MT,2020,46,29.316190476190478,35.371428571428574,59.16619047619047,16.286666666666665,18.736190476190476
MT,2020,47,29.106666666666666,35.483809523809526,61.22809523809524,17.086666666666666,21.51047619047619
MT,2020,48,31.08095238095238,38.32523809523809,50.382380952380956,11.166666666666668,25.564285714285713
MT,2020,49,30.451428571428572,36.390952380952385,57.96666666666666,22.7,22.083809523809524
MT,2020,50,27.133333333333333,32.47047619047619,73.27285714285715,44.64,19.152380952380952
MT,2020,51,29.141428571428573,35.075714285714284,64.84095238095237,15.4,24.230476190476192
MT,2020,52,27.358571428571427,31.95190476190476,75.84857142857143,34.92333333333333,16.869047619047617
MT,2020,53,27.7875,33.93833333333333,70.1825,10.75,22.752499999999998
MT,2021,1,28.02190476190476,33.12,70.86095238095238,31.85333333333333,21.438095238095237
MT,2021,2,27.17761904761905,31.73857142857143,75.8795238095238,35.129999999999995,16.99238095238095
MT,2021,3,26.15047619047619,30.765238095238097,78.65190476190477,40.71666666666666,19.80666666666667
MT,2021,4,26.708095238095236,31.72714285714286,75.90714285714286,30.623333333333335,19.643333333333334
MT,2021,5,28.513333333333332,34.66857142857143,66.36047619047619,10.476666666666667,22.754761904761903
MT,2021,6,27.834761904761905,33.51761904761905,66.09333333333333,33.75333333333333,20.487142857142857
MT,2021,7,27.365238095238094,32.72238095238095,74.88904761904762,21.64,19.816190476190478
MT,2021,8,28.134285714285713,33.97571428571428,72.28857142857143,33.32,22.53380952380952
MT,2021,9,25.771428571428572,30.690952380952382,79.30857142857143,33.50333333333333,17.075238095238095
MT,2021,10,25.810476190476187,30.75714285714286,76.71428571428571,21.573333333333334,19.025714285714287
MT,2021,11,25.875238095238096,30.722857142857144,80.99619047619048,45.916666666666664,18.288095238095234
MT,2021,12,26.55,32.75857142857143,71.66047619047619,18.8,21.445238095238096
MT,2021,13,27.99190476190476,33.84190476190476,64.88619047619048,10.546666666666667,20.801428571428573
MT,2021,14,27.071428571428573,32.83142857142857,72.94666666666667,27.53333333333333,17.867619047619048
MT,2021,15,26.970000000000002,33.401428571428575,68.29142857142857,25.07,18.95095238095238
MT,2021,16,26.13904761904762,32.41238095238096,64.80047619047619,14.280000000000001,19.76047619047619
