DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Total"
"150178 BREU BRANCO";-;-;-;-;-;-;-;1;2;-;1;-;-;1;-;-;-;-;-;-;5
"150180 BREVES";-;-;-;2;-;-;2;-;4;-;1;-;-;-;-;-;-;-;-;-;9
"150190 BUJARU";1;3;5;3;1;3;5;3;1;1;2;-;-;-;-;-;-;-;-;-;28
"150195 CACHOEIRA DO PIRIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150210 CAMETA";-;-;-;2;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"150215 CANAA DOS CARAJAS";-;1;4;-;1;-;1;10;9;-;-;1;-;2;-;-;-;-;-;-;29
"150230 CAPITAO POCO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150240 CASTANHAL";1;2;2;2;11;9;14;15;8;7;10;12;10;6;5;3;-;-;-;-;117
"150260 COLARES";1;-;2;1;1;2;5;1;2;-;1;1;1;-;-;1;1;-;-;-;20
"150270 CONCEICAO DO ARAGUAIA";6;11;14;4;1;-;2;-;-;-;-;1;1;1;-;-;1;1;-;-;43
"150275 CONCORDIA DO PARA";-;-;1;2;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;6
"150277 CURIONOPOLIS";-;-;-;-;1;3;1;1;1;1;1;3;2;-;-;-;-;-;-;-;14
"150280 CURRALINHO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150285 CURUA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150293 DOM ELISEU";-;-;-;1;2;1;1;4;-;1;2;-;1;-;7;15;24;22;10;3;94
"150295 ELDORADO DOS CARAJAS";1;1;2;4;9;7;8;6;10;6;5;12;4;4;7;3;9;15;7;-;120
"150304 FLORESTA DO ARAGUAIA";2;3;12;3;7;12;7;-;-;-;-;1;-;-;-;-;-;-;-;-;47
"150307 GARRAFAO DO NORTE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150309 GOIANESIA DO PARA";-;-;1;1;-;-;1;-;-;1;2;1;-;-;-;-;-;-;-;-;7
"150320 IGARAPE-ACU";-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;4
"150330 IGARAPE-MIRI";1;1;-;1;-;1;2;-;1;5;1;2;2;-;-;-;-;-;-;-;17
"150340 INHANGAPI";4;11;7;8;8;6;14;3;-;-;-;-;-;-;-;-;-;-;-;-;61
"150345 IPIXUNA DO PARA";-;-;-;-;-;1;-;-;-;-;1;-;2;2;-;1;-;1;1;-;9
"150360 ITAITUBA";9;47;147;98;42;20;18;13;8;11;54;80;62;58;34;19;21;11;9;1;762
"150370 ITUPIRANGA";-;1;1;1;1;-;1;8;14;4;5;5;1;1;2;1;3;2;1;-;52
"150375 JACAREACANGA";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;3
"150380 JACUNDA";6;4;18;35;37;32;29;29;12;23;8;5;-;3;2;3;3;3;-;-;252
"150390 JURUTI";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150400 LIMOEIRO DO AJURU";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150405 MAE DO RIO";-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;3
"150410 MAGALHAES BARATA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150420 MARABA";6;2;-;1;11;5;3;1;1;-;-;-;1;-;1;1;3;-;-;-;36
"150442 MARITUBA";-;-;-;3;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"150445 MEDICILANDIA";-;1;-;-;-;-;-;1;1;1;2;3;3;2;4;6;2;1;1;-;28
"150450 MELGACO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"150460 MOCAJUBA";-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;3
"150470 MOJU";1;-;-;2;2;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;9
"150475 MOJUI DOS CAMPOS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150480 MONTE ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;3
"150490 MUANA";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150495 NOVA ESPERANCA DO PIRIA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150497 NOVA IPIXUNA";-;-;-;-;-;1;2;-;1;1;-;-;-;-;-;-;-;-;-;-;5
"150503 NOVO PROGRESSO";14;29;17;11;7;4;2;2;-;-;1;-;-;-;-;-;-;-;-;-;87
"150506 NOVO REPARTIMENTO";2;2;4;6;16;37;28;25;15;11;27;35;17;4;5;-;-;-;-;-;234
"150510 OBIDOS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150520 OEIRAS DO PARA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2
"150530 ORIXIMINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
"150540 OUREM";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150543 OURILANDIA DO NORTE";-;-;-;-;-;-;-;-;-;2;1;1;1;2;-;-;-;-;-;-;7
"150548 PACAJA";7;11;16;31;43;46;90;65;24;45;81;107;97;51;43;29;33;24;29;18;890
"150549 PALESTINA DO PARA";-;-;-;-;2;3;4;2;2;1;2;2;-;-;-;-;-;-;1;-;19
"150550 PARAGOMINAS";-;2;-;-;1;1;-;-;1;-;1;-;1;-;-;1;-;1;-;-;9
"150553 PARAUAPEBAS";1;-;11;21;23;34;66;57;77;69;53;71;72;67;57;50;38;20;1;-;788
"150555 PAU D'ARCO";-;4;3;1;4;1;2;3;2;12;12;3;-;-;-;-;-;-;-;-;47
"150560 PEIXE-BOI";1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150565 PLACAS";-;-;-;-;-;3;7;13;1;2;8;11;4;11;5;3;3;-;-;-;71
"150570 PONTA DE PEDRAS";-;2;-;-;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"150580 PORTEL";1;1;7;1;2;2;2;4;-;5;1;-;1;3;-;1;-;-;-;-;31
"150613 REDENCAO";12;20;22;27;54;60;37;43;22;17;21;18;14;4;-;-;-;1;-;-;372
"150616 RIO MARIA";13;14;27;12;7;23;12;9;3;4;4;2;3;-;-;-;-;-;-;-;133
"150618 RONDON DO PARA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;3
"150619 RUROPOLIS";1;3;2;1;2;5;1;6;10;8;7;3;1;1;4;-;2;1;-;-;58
"150620 SALINOPOLIS";-;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;5
"150630 SALVATERRA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150635 SANTA BARBARA DO PARA";-;6;4;3;2;-;1;2;1;1;-;-;-;-;-;-;-;-;-;-;20
"150650 SANTA IZABEL DO PARA";3;1;1;5;2;3;4;2;2;1;2;-;-;1;-;-;1;-;-;-;28
"150655 SANTA LUZIA DO PARA";-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150658 SANTA MARIA DAS BARREIRAS";-;-;-;2;2;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;7
"150670 SANTANA DO ARAGUAIA";4;12;6;9;12;14;7;3;7;5;3;3;6;6;14;6;9;9;4;3;142
"150680 SANTAREM";-;1;2;2;-;-;-;2;1;16;1;6;10;13;5;4;5;1;-;-;69
"150700 SANTO ANTONIO DO TAUA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;-;4
"150715 SAO DOMINGOS DO ARAGUAIA";-;-;-;-;-;1;2;4;9;7;3;3;3;7;5;3;2;2;1;-;52
"150720 SAO DOMINGOS DO CAPIM";-;-;-;-;-;1;-;-;-;3;1;2;1;-;-;3;1;-;-;-;12
"150730 SAO FELIX DO XINGU";1;-;3;1;2;10;15;4;1;5;4;5;6;5;3;10;5;1;8;1;90
"150740 SAO FRANCISCO DO PARA";1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"150745 SAO GERALDO DO ARAGUAIA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150750 SAO JOAO DO ARAGUAIA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150760 SAO MIGUEL DO GUAMA";-;-;1;1;-;-;2;-;1;-;3;1;-;6;-;-;1;-;-;-;16
